sku,country,unit,seller,min_price,min_price_date,max_price,max_price_date,current_price,current_price_date,average_price
B003Y6ISWO,Germany,€,amazon,2.28,2018-09-17 00:00:00,8.76,2023-06-30 00:00:00,6.53,2023-09-14 00:00:00,6.16
B003Y6ISWO,Germany,€,new,1.0,2019-04-16 00:00:00,9.9,2023-03-01 00:00:00,,,8.04
B003Y6ISWO,Germany,€,used,4.71,2022-08-25 00:00:00,5.13,2022-12-15 00:00:00,,,4.93
B0061J9OME,Germany,€,amazon,108.99,2020-11-10 00:00:00,299.99,2023-01-18 00:00:00,209.9,2024-01-19 00:00:00,198.15
B0061J9OME,Germany,€,new,116.52,2017-11-02 00:00:00,259.0,2023-01-23 00:00:00,,,167.67
B0061J9OME,Germany,€,used,53.0,2022-05-31 00:00:00,273.61,2018-09-14 00:00:00,170.94,2024-01-19 00:00:00,136.8
B008YETL18,Germany,€,amazon,7.99,2017-04-20 00:00:00,14.99,2020-06-09 00:00:00,12.99,2024-01-18 00:00:00,12.4
B008YETL18,Germany,€,new,1.26,2019-06-25 00:00:00,18.02,2022-11-01 00:00:00,,,14.95
B008YETL18,Germany,€,used,1.99,2023-10-24 00:00:00,57.9,2019-07-22 00:00:00,,,10.73
B0092MEP58,Germany,€,amazon,16.48,2018-05-24 00:00:00,25.36,2019-01-14 00:00:00,,,19.49
B0092MEP58,Germany,€,new,8.0,2018-07-27 00:00:00,22.64,2019-09-05 00:00:00,15.84,2020-01-14 00:00:00,15.48
B0092MEP58,Germany,€,used,1.68,2017-12-27 00:00:00,18.37,2019-04-19 00:00:00,,,13.44
B00H5NQVQW,Germany,€,amazon,5.5,2018-02-15 00:00:00,17.99,2019-12-23 00:00:00,6.19,2024-01-18 00:00:00,7.57
B00H5NQVQW,Germany,€,new,2.09,2018-11-21 00:00:00,9.56,2022-03-02 00:00:00,,,6.34
B00H5NQVQW,Germany,€,used,4.79,2018-02-15 00:00:00,7.69,2019-06-22 00:00:00,,,6.19
B00REB9VTO,Germany,€,amazon,9.55,2015-11-27 00:00:00,17.85,2022-06-16 00:00:00,,,15.47
B00REB9VTO,Germany,€,new,2.93,2019-08-26 00:00:00,17.83,2021-07-13 00:00:00,13.95,2024-01-15 00:00:00,13.78
B00REB9VTO,Germany,€,used,3.79,2016-09-07 00:00:00,13.81,2023-09-10 00:00:00,,,11.55
B01539XFLI,Germany,€,amazon,5.0,2018-02-11 00:00:00,16.37,2019-07-05 00:00:00,9.99,2023-10-04 00:00:00,9.87
B01539XFLI,Germany,€,new,5.54,2017-08-02 00:00:00,28.71,2016-01-13 00:00:00,,,10.98
B01539XFLI,Germany,€,used,3.0,2017-02-04 00:00:00,27.14,2018-01-26 00:00:00,9.39,2024-01-19 00:00:00,9.07
B019H693FA,Germany,€,amazon,28.82,2019-10-02 00:00:00,31.12,2019-10-06 00:00:00,,,30.15
B019H693FA,Germany,€,new,16.39,2019-08-26 00:00:00,59.0,2021-11-17 00:00:00,31.9,2024-01-10 00:00:00,34.81
B019H693FA,Germany,€,used,17.64,2018-12-15 00:00:00,33.85,2023-02-27 00:00:00,31.37,2024-01-18 00:00:00,30.72
B01BGBJ8Y0,Germany,€,amazon,13.99,2022-07-15 00:00:00,35.97,2016-03-10 00:00:00,17.14,2024-01-19 00:00:00,17.55
B01BGBJ8Y0,Germany,€,new,11.0,2019-12-19 00:00:00,79.9,2020-03-21 00:00:00,,,27.08
B01BGBJ8Y0,Germany,€,used,11.05,2022-07-17 00:00:00,64.99,2020-06-10 00:00:00,16.11,2024-01-19 00:00:00,17.79
B01FFOY006,Germany,€,amazon,16.79,2021-10-18 00:00:00,26.93,2019-07-01 00:00:00,22.99,2024-01-16 00:00:00,21.19
B01FFOY006,Germany,€,new,16.95,2019-09-11 00:00:00,32.28,2023-09-01 00:00:00,,,27.28
B01FFOY006,Germany,€,used,19.31,2019-10-24 00:00:00,29.97,2017-08-09 00:00:00,,,20.63
B01GVQUX3U,Germany,€,amazon,39.0,2018-06-07 00:00:00,95.5,2021-04-26 00:00:00,,,57.99
